algorithm,framework,variant,n_threads,train_ms,infer_ms,acc,prec,rec,f1,notes
svm,sklearn,default,1,815.54,1.98,0.7315,0.7216,0.7379,0.7296,SGDClassifier single-threaded by design
knn,sklearn,default,8,25.97,3501.67,0.8106,0.8096,0.8031,0.8064,"brute-force, n_jobs=8"
mlp,sklearn,default,8,12805.79,9.25,0.7546,0.7357,0.7807,0.7575,BLAS-parallel via OMP_NUM_THREADS=8
dt,sklearn,default,1,1141.26,4.54,0.7652,0.7537,0.7752,0.7643,exact-split single-threaded; sklearn DT has no n_jobs
dt,xgboost,default,8,185.06,3.61,0.7632,0.7411,0.7959,0.7675,"hist single-tree, max_bin=64, n_jobs=8"
nb,sklearn,hybrid,1,106.52,10.3,0.6946,0.6407,0.8608,0.7346,GaussianNB+BernoulliNB composed; matches nb.cpp is_binary mask
nb,sklearn,gaussian-only,1,85.41,9.88,0.643,0.7822,0.3784,0.51,naive-sklearn-user baseline; Gaussian applied to all features
nb,sklearn,bernoulli-only,1,114.39,26.27,0.7024,0.7088,0.6685,0.6881,naive-sklearn-user baseline; Bernoulli applied to all features
